chr	pos1	pos2	chr2	pos3	pos4	length	width	total	Mean	maxpixel	num	start	end	x	y	h	w	medpixel	region_idx	region_start	region_end	pvalue	Stripiness	Stripiness
chr19	267000.0	267400.0	chr19	258601.0	274001.0	15400.0	400.0	547.0	3.551948051948052	95.0%	0.0	1287.0	1386.0	4.0	6.0	77.0	2.0	2.0	0	266200	268400	0.0106029300914527	0.6414201183431952	0.6414201183431952
chr19	459800.0	460200.0	chr19	451401.0	463601.0	12200.0	400.0	647.0	5.30327868852459	95.0%	0.0	2251.0	2350.0	4.0	6.0	61.0	2.0	2.0	1	459000	461200	0.0296086065186752	0.6188166828322017	0.6188166828322017
chr19	506600.0	507000.0	chr19	498201.0	510801.0	12600.0	400.0	1432.0	11.365079365079366	95.0%	0.0	2485.0	2584.0	4.0	6.0	63.0	2.0	2.0	2	505800	508000	2.745336690273586e-31	0.6782982791586998	0.6782982791586998
chr19	507600.0	508000.0	chr19	499201.0	510401.0	11200.0	400.0	1485.0	13.258928571428571	95.0%	0.0	2490.0	2589.0	4.0	6.0	56.0	2.0	2.0	3	506800	509000	6.669675391097452e-27	0.678082191780822	0.678082191780822
chr19	510800.0	511200.0	chr19	502401.0	516201.0	13800.0	400.0	1057.0	7.659420289855072	95.0%	0.0	2506.0	2605.0	4.0	6.0	69.0	2.0	3.0	4	510000	512200	0.0001496581749638	0.6975512905360688	0.6975512905360688
chr19	572200.0	572600.0	chr19	563801.0	572401.0	8600.0	400.0	566.0	6.5813953488372094	95.0%	0.0	2813.0	2912.0	4.0	6.0	43.0	2.0	2.0	5	571400	573600	8.417637542430985e-09	0.2640791476407915	0.2640791476407915
chr19	584200.0	584600.0	chr19	575801.0	587601.0	11800.0	400.0	957.0	8.110169491525424	95.0%	0.0	2873.0	2972.0	4.0	6.0	59.0	2.0	3.0	6	583400	585600	7.519630610011659e-15	0.6565517241379311	0.6565517241379311
chr19	588000.0	588400.0	chr19	579601.0	592801.0	13200.0	400.0	789.0	5.9772727272727275	95.0%	0.0	2892.0	2991.0	4.0	6.0	66.0	2.0	2.0	7	587200	589400	2.779115709625112e-18	0.5824665676077266	0.5824665676077266
chr19	610000.0	610400.0	chr19	608401.0	612401.0	4000.0	400.0	510.0	12.75	95.0%	0.0	3002.0	3101.0	4.0	40.0	20.0	2.0	2.0	8	609200	611400	0.0615933786303759	0.5592105263157895	0.5592105263157895
chr19	633400.0	633800.0	chr19	627401.0	639401.0	12000.0	400.0	1296.0	10.8	95.0%	0.0	3119.0	3218.0	4.0	18.0	60.0	2.0	2.0	9	632600	634800	5.079356914563557e-14	0.5676741130091985	0.5676741130091985
chr19	663200.0	663600.0	chr19	654801.0	671401.0	16600.0	400.0	706.0	4.253012048192771	95.0%	0.0	3268.0	3367.0	4.0	6.0	83.0	2.0	2.0	10	662400	664600	0.0104522776195244	0.4463383838383838	0.4463383838383838
chr19	677000.0	677400.0	chr19	676001.0	679201.0	3200.0	400.0	734.0	22.9375	95.0%	0.0	3337.0	3436.0	4.0	43.0	16.0	2.0	2.0	11	676200	678400	0.0003045111257452	0.5187279151943462	0.5187279151943462
chr19	680400.0	680800.0	chr19	672001.0	687801.0	15800.0	400.0	994.0	6.291139240506329	95.0%	0.0	3354.0	3453.0	4.0	6.0	79.0	2.0	2.0	12	679600	681800	1.5862489823760283e-09	0.5073866530820174	0.5073866530820174
chr19	716400.0	716800.0	chr19	708001.0	720601.0	12600.0	400.0	671.0	5.325396825396825	95.0%	0.0	3534.0	3633.0	4.0	6.0	63.0	2.0	2.0	13	715600	717800	0.0043419951804946	0.6439539347408829	0.6439539347408829
chr19	750600.0	751000.0	chr19	742201.0	752601.0	10400.0	400.0	1021.0	9.817307692307692	95.0%	0.0	3705.0	3804.0	4.0	6.0	52.0	2.0	2.0	14	749800	752000	4.743920569472194e-18	0.6621271076523995	0.6621271076523995
chr19	770200.0	770600.0	chr19	761801.0	773401.0	11600.0	400.0	539.0	4.646551724137931	95.0%	0.0	3803.0	3902.0	4.0	6.0	58.0	2.0	2.0	15	769400	771600	0.3181099506764087	0.4480465502909393	0.4480465502909393
chr19	817600.0	818000.0	chr19	809201.0	819401.0	10200.0	400.0	518.0	5.078431372549019	95.0%	0.0	4040.0	4139.0	4.0	6.0	51.0	2.0	2.0	16	816800	819000	0.0194214847129975	0.547645125958379	0.547645125958379
chr19	836200.0	836600.0	chr19	827801.0	838801.0	11000.0	400.0	558.0	5.072727272727272	95.0%	0.0	4133.0	4232.0	4.0	6.0	55.0	2.0	2.0	17	835400	837600	0.5731692521998432	0.5676251331203408	0.5676251331203408
chr19	843800.0	844200.0	chr19	838801.0	845801.0	7000.0	400.0	556.0	7.942857142857143	95.0%	0.0	4171.0	4270.0	4.0	23.0	35.0	2.0	2.0	18	843000	845200	0.0957888599372859	0.481156879929886	0.48115687992988604
chr19	860200.0	860600.0	chr19	851801.0	861001.0	9200.0	400.0	705.0	7.663043478260869	95.0%	0.0	4253.0	4352.0	4.0	6.0	46.0	2.0	2.0	19	859400	861600	1.139491890714586e-12	0.5063480209111277	0.5063480209111277
chr19	862000.0	862400.0	chr19	861201.0	869201.0	8000.0	400.0	709.0	8.8625	95.0%	0.0	4262.0	4361.0	4.0	44.0	40.0	2.0	2.0	20	861200	863400	0.1310092408382619	0.4771812080536913	0.4771812080536913
chr19	869000.0	869400.0	chr19	860601.0	871001.0	10400.0	400.0	909.0	8.740384615384615	95.0%	0.0	4297.0	4396.0	4.0	6.0	52.0	2.0	3.0	21	868200	870400	2.1664796017866748e-11	0.7084957131722526	0.7084957131722526
chr19	883600.0	884000.0	chr19	875201.0	892401.0	17200.0	400.0	747.0	4.343023255813954	95.0%	0.0	4370.0	4469.0	4.0	6.0	86.0	2.0	2.0	22	882800	885000	0.0036994456937837	0.5637735849056604	0.5637735849056604
chr19	916800.0	917200.0	chr19	908401.0	921001.0	12600.0	400.0	867.0	6.880952380952381	95.0%	0.0	4536.0	4635.0	4.0	6.0	63.0	2.0	2.0	23	916000	918200	1.7097316637472433e-12	0.5856164383561644	0.5856164383561644
chr19	921600.0	922000.0	chr19	913201.0	924801.0	11600.0	400.0	622.0	5.362068965517241	95.0%	0.0	4560.0	4659.0	4.0	6.0	58.0	2.0	2.0	24	920800	923000	0.2909467775605601	0.3414634146341463	0.34146341463414637
chr19	925400.0	925800.0	chr19	917001.0	928601.0	11600.0	400.0	998.0	8.60344827586207	95.0%	0.0	4579.0	4678.0	4.0	6.0	58.0	2.0	2.0	25	924600	926800	1.1034183775098488e-35	0.4768275203057812	0.4768275203057812
chr19	940200.0	940600.0	chr19	931801.0	943401.0	11600.0	400.0	925.0	7.974137931034483	95.0%	0.0	4653.0	4752.0	4.0	6.0	58.0	2.0	2.0	26	939400	941600	1.2300633019894929e-17	0.6335616438356164	0.6335616438356164
chr19	977000.0	977400.0	chr19	968601.0	982201.0	13600.0	400.0	819.0	6.022058823529412	95.0%	0.0	4837.0	4936.0	4.0	6.0	68.0	2.0	2.0	27	976200	978400	0.0005286246160056	0.6799667497921862	0.6799667497921862
chr19	984000.0	984400.0	chr19	983001.0	991201.0	8200.0	400.0	788.0	9.609756097560975	95.0%	0.0	4872.0	4971.0	4.0	43.0	41.0	2.0	2.0	28	983200	985400	3.019833797629107e-10	0.473714953271028	0.473714953271028
chr19	991400.0	991800.0	chr19	983001.0	996201.0	13200.0	400.0	712.0	5.393939393939394	95.0%	0.0	4909.0	5008.0	4.0	6.0	66.0	2.0	2.0	29	990600	992800	1.83388563856758e-05	0.4699669966996699	0.46996699669966996
chr19	996200.0	996600.0	chr19	991801.0	1001401.0	9600.0	400.0	1198.0	12.479166666666666	95.0%	0.0	4933.0	5032.0	4.0	26.0	48.0	2.0	3.0	30	995400	997600	2.612287502236991e-24	0.687571921749137	0.687571921749137
chr19	1001400.0	1001800.0	chr19	993001.0	1004401.0	11400.0	400.0	731.0	6.412280701754386	95.0%	0.0	4959.0	5058.0	4.0	6.0	57.0	2.0	2.0	31	1000600	1002800	0.0023374842406826	0.5341660543717854	0.5341660543717854
chr19	1016600.0	1017000.0	chr19	1008201.0	1018601.0	10400.0	400.0	879.0	8.451923076923077	95.0%	0.0	5035.0	5134.0	4.0	6.0	52.0	2.0	3.0	32	1015800	1018000	5.99092495062464e-09	0.6289855072463768	0.6289855072463768
chr19	1028200.0	1028600.0	chr19	1026601.0	1030601.0	4000.0	400.0	843.0	21.075	95.0%	0.0	5093.0	5192.0	4.0	40.0	20.0	2.0	2.0	33	1027400	1029600	1.020314355709918e-17	0.4921190893169877	0.4921190893169877
chr19	1040800.0	1041200.0	chr19	1032401.0	1044401.0	12000.0	400.0	1497.0	12.475	95.0%	0.0	5156.0	5255.0	4.0	6.0	60.0	2.0	3.0	34	1040000	1042200	2.9973584381155625e-15	0.6222504230118443	0.6222504230118443
chr19	1042000.0	1042400.0	chr19	1033601.0	1044401.0	10800.0	400.0	1306.0	12.092592592592592	95.0%	0.0	5162.0	5261.0	4.0	6.0	54.0	2.0	2.0	35	1041200	1043400	1.1842060155171185e-26	0.6421692853522555	0.6421692853522555
chr19	1044400.0	1044800.0	chr19	1036001.0	1047601.0	11600.0	400.0	995.0	8.577586206896552	95.0%	0.0	5174.0	5273.0	4.0	6.0	58.0	2.0	2.0	36	1043600	1045800	0.0188059071833923	0.6796448087431693	0.6796448087431693
chr19	1082000.0	1082400.0	chr19	1073601.0	1087801.0	14200.0	400.0	1069.0	7.528169014084507	95.0%	0.0	5362.0	5461.0	4.0	6.0	71.0	2.0	2.0	37	1081200	1083400	4.539969248126854e-16	0.5544656685596283	0.5544656685596283
chr19	1103600.0	1104000.0	chr19	1095201.0	1107601.0	12400.0	400.0	913.0	7.362903225806452	95.0%	0.0	5470.0	5569.0	4.0	6.0	62.0	2.0	2.0	38	1102800	1105000	1.3200638061318208e-15	0.4892818863879957	0.4892818863879957
chr19	1113200.0	1113600.0	chr19	1104801.0	1122201.0	17400.0	400.0	933.0	5.362068965517241	95.0%	0.0	5518.0	5617.0	4.0	6.0	87.0	2.0	2.0	39	1112400	1114600	1.2103667273310972e-07	0.5501770956316411	0.5501770956316411
chr19	1130800.0	1131200.0	chr19	1122401.0	1137801.0	15400.0	400.0	1046.0	6.792207792207792	95.0%	0.0	5606.0	5705.0	4.0	6.0	77.0	2.0	3.0	40	1130000	1132200	2.2178076881411295e-10	0.7139917695473251	0.7139917695473251
chr19	1141800.0	1142200.0	chr19	1133401.0	1149001.0	15600.0	400.0	1229.0	7.878205128205129	95.0%	0.0	5661.0	5760.0	4.0	6.0	78.0	2.0	2.0	41	1141000	1143200	1.377913456372853e-31	0.6430073606729758	0.6430073606729758
chr19	1172400.0	1172800.0	chr19	1171201.0	1174001.0	2800.0	400.0	569.0	20.321428571428573	95.0%	0.0	5814.0	5913.0	4.0	42.0	14.0	2.0	2.0	42	1171600	1173800	7.713482763706681e-05	0.4830220713073005	0.4830220713073005
chr19	1174000.0	1174400.0	chr19	1173001.0	1180401.0	7400.0	400.0	428.0	5.783783783783784	95.0%	0.0	5822.0	5921.0	4.0	43.0	37.0	2.0	2.0	43	1173200	1175400	0.4185040992581506	0.4346534653465346	0.43465346534653465
chr19	1181600.0	1182000.0	chr19	1173201.0	1183601.0	10400.0	400.0	961.0	9.240384615384617	95.0%	0.0	5860.0	5959.0	4.0	6.0	52.0	2.0	2.0	44	1180800	1183000	2.1437796199683344e-06	0.5758338577721838	0.5758338577721838
chr19	1183600.0	1184000.0	chr19	1175201.0	1189201.0	14000.0	400.0	1431.0	10.221428571428572	95.0%	0.0	5870.0	5969.0	4.0	6.0	70.0	2.0	2.0	45	1182800	1185000	1.2391113184721212e-54	0.7017199017199017	0.7017199017199017
chr19	1205200.0	1205600.0	chr19	1198801.0	1207201.0	8400.0	400.0	1036.0	12.333333333333334	95.0%	0.0	5978.0	6077.0	4.0	16.0	42.0	2.0	2.0	46	1204400	1206600	4.7848155253012525e-39	0.5120076849183477	0.5120076849183477
chr19	1232400.0	1232800.0	chr19	1230401.0	1235801.0	5400.0	400.0	678.0	12.555555555555555	95.0%	0.0	6114.0	6213.0	4.0	38.0	27.0	2.0	2.0	47	1231600	1233800	0.0020361201170525	0.5982532751091703	0.5982532751091703
