chr	pos1	pos2	chr2	pos3	pos4	length	width	total	Mean	maxpixel	num	start	end	x	y	h	w	medpixel	region_idx	region_start	region_end	pvalue	Stripiness
chr19	243501.0	246000.0	chr19	243501.0	276000.0	32500.0	2500.0	870.0	2.676923076923077	95.0%	0.0	485.0	684.0	2.0	2.0	65.0	5.0	2.0	0	267000	317500	0.006373522022064291	0.4887640449438202
chr19	246501.0	249000.0	chr19	246501.0	288500.0	42000.0	2500.0	2251.0	5.359523809523809	95.0%	0.0	485.0	684.0	8.0	8.0	84.0	5.0	2.0	0	267000	317500	0.013177225176078935	0.5857461024498887
chr19	375001.0	377500.0	chr19	375001.0	406000.0	31000.0	2500.0	1513.0	4.880645161290323	95.0%	0.0	712.0	911.0	38.0	38.0	62.0	5.0	2.0	1	380500	431000	0.005371363583442218	0.4591061112800243
chr19	368501.0	371000.0	chr19	368501.0	402000.0	33500.0	2500.0	523.0	1.5611940298507463	95.0%	0.0	712.0	911.0	25.0	25.0	67.0	5.0	2.0	1	380500	431000	0.007349532380968718	0.5819855685493904
chr19	378501.0	382000.0	chr19	378501.0	400000.0	21500.0	3500.0	447.0	1.4850498338870433	95.0%	0.0	712.0	911.0	45.0	45.0	43.0	7.0	2.0	1	380500	431000	0.005372254083276413	0.5517966360856269
chr19	365501.0	368000.0	chr19	365501.0	393000.0	27500.0	2500.0	2004.0	7.287272727272727	95.0%	0.0	712.0	911.0	19.0	19.0	55.0	5.0	2.0	1	380500	431000	0.003729419187992613	0.5748160261651676
chr19	371501.0	373500.0	chr19	371501.0	402000.0	30500.0	2000.0	1664.0	6.819672131147541	95.0%	0.0	712.0	911.0	31.0	31.0	61.0	4.0	2.0	1	380500	431000	0.009091400698561283	0.5569280343716434
chr19	448001.0	451000.0	chr19	448001.0	473000.0	25000.0	3000.0	915.0	3.0500000000000003	95.0%	0.0	892.0	1091.0	4.0	4.0	50.0	6.0	2.0	2	470500	521000	0.003115883735022107	0.5346171480972031
chr19	481501.0	484000.0	chr19	481501.0	496000.0	14500.0	2500.0	307.0	2.117241379310345	95.0%	0.0	892.0	1091.0	71.0	71.0	29.0	5.0	2.0	2	470500	521000	0.004614608617945693	0.6360718870346598
chr19	455001.0	457500.0	chr19	455001.0	487000.0	32000.0	2500.0	1345.0	4.203125	95.0%	0.0	892.0	1091.0	18.0	18.0	64.0	5.0	2.0	2	470500	521000	0.005387062068051294	0.5733463509885282
chr19	503001.0	506500.0	chr19	503001.0	544500.0	41500.0	3500.0	6240.0	10.740103270223752	95.0%	0.0	1001.0	1200.0	5.0	5.0	83.0	7.0	2.0	3	525000	575500	0.6852141290617153	0.6439675566069618
chr19	507001.0	509000.0	chr19	507001.0	545000.0	38000.0	2000.0	3107.0	10.220394736842104	95.0%	0.0	1001.0	1200.0	13.0	13.0	76.0	4.0	2.0	3	525000	575500	6.21350627066996e-30	0.6439367311072056
chr19	515001.0	517500.0	chr19	515001.0	547000.0	32000.0	2500.0	2463.0	7.696875	95.0%	0.0	1001.0	1200.0	29.0	29.0	64.0	5.0	2.0	3	525000	575500	0.8435116884538673	0.5278936392075079
chr19	547001.0	549000.0	chr19	547001.0	585000.0	38000.0	2000.0	2872.0	9.447368421052632	95.0%	0.0	1077.0	1276.0	17.0	17.0	76.0	4.0	2.0	5	563000	613500	0.34022647377000925	0.5380346065948417
