chr	pos1	pos2	chr2	pos3	pos4	length	width	total	Mean	maxpixel	num	start	end	x	y	h	w	medpixel	region_idx	region_start	region_end	pvalue	Stripiness
chr19	573801.0	574600.0	chr19	573801.0	587400.0	13600.0	800.0	1530.0	5.625	95.0%	0.0	2842.0	3041.0	27.0	27.0	68.0	4.0	2.0	0	578200	598400	0.8232334369024463	0.5577464788732395
chr19	570001.0	571400.0	chr19	570001.0	584200.0	14200.0	1400.0	1665.0	3.3501006036217302	95.0%	0.0	2842.0	3041.0	8.0	8.0	71.0	7.0	2.0	0	578200	598400	0.18778871881331682	0.4469096671949287
chr19	575001.0	575800.0	chr19	575001.0	587800.0	12800.0	800.0	830.0	3.2421875	95.0%	0.0	2842.0	3041.0	33.0	33.0	64.0	4.0	2.0	0	578200	598400	0.4446179285526895	0.5129811996418979
chr19	825401.0	826400.0	chr19	825401.0	839200.0	13800.0	1000.0	866.0	2.510144927536232	95.0%	0.0	4121.0	4320.0	6.0	6.0	69.0	5.0	1.0	2	834000	854200	0.01300662945619779	0.4971002485501243
chr19	829801.0	831200.0	chr19	829801.0	841000.0	11200.0	1400.0	1520.0	3.877551020408163	95.0%	0.0	4121.0	4320.0	28.0	28.0	56.0	7.0	1.0	2	834000	854200	0.7769606910577769	0.45425867507886436
chr19	902201.0	903200.0	chr19	902201.0	912400.0	10200.0	1000.0	320.0	1.2549019607843137	95.0%	0.0	4510.0	4709.0	1.0	1.0	51.0	5.0	2.0	3	911800	932000	0.0204207241115943	0.4756969263759828
chr19	906601.0	907400.0	chr19	906601.0	916600.0	10000.0	800.0	760.0	3.8	95.0%	0.0	4510.0	4709.0	23.0	23.0	50.0	4.0	2.0	3	911800	932000	0.6429069135309157	0.43608340888485947
chr19	903601.0	904400.0	chr19	903601.0	917200.0	13600.0	800.0	1319.0	4.849264705882353	95.0%	0.0	4510.0	4709.0	8.0	8.0	68.0	4.0	2.0	3	911800	932000	0.21725955595913893	0.4767287234042553
chr19	905601.0	906400.0	chr19	905601.0	916200.0	10600.0	800.0	490.0	2.311320754716981	95.0%	0.0	4510.0	4709.0	18.0	18.0	53.0	4.0	2.0	3	911800	932000	0.6858354155475402	0.4907088781830695
chr19	911001.0	911800.0	chr19	911001.0	920600.0	9600.0	800.0	301.0	1.5677083333333333	95.0%	0.0	4510.0	4709.0	45.0	45.0	48.0	4.0	2.0	3	911800	932000	0.7580505126105643	0.37550689375506896
chr19	1166801.0	1167800.0	chr19	1166801.0	1175600.0	8800.0	1000.0	285.0	1.2954545454545454	95.0%	0.0	5804.0	6003.0	30.0	30.0	44.0	5.0	2.0	4	1170600	1190800	0.4993065485417454	0.47692307692307695
chr19	1163801.0	1164600.0	chr19	1163801.0	1177400.0	13600.0	800.0	881.0	3.238970588235294	95.0%	0.0	5804.0	6003.0	15.0	15.0	68.0	4.0	2.0	4	1170600	1190800	0.8050999951450387	0.4009345794392523
chr19	1171001.0	1172200.0	chr19	1171001.0	1179800.0	8800.0	1200.0	408.0	1.5454545454545456	95.0%	0.0	5804.0	6003.0	51.0	51.0	44.0	6.0	2.0	4	1170600	1190800	0.717858801771589	0.481
chr19	1172401.0	1173400.0	chr19	1172401.0	1179600.0	7200.0	1000.0	88.0	0.48888888888888893	95.0%	0.0	5804.0	6003.0	58.0	58.0	36.0	5.0	2.0	4	1170600	1190800	0.0019928422066910513	0.37776193870277974
chr19	1436201.0	1437000.0	chr19	1436201.0	1449200.0	13000.0	800.0	486.0	1.8692307692307693	95.0%	0.0	7146.0	7345.0	35.0	35.0	65.0	4.0	2.0	5	1439000	1459200	1.3259449575294463e-08	0.47693229478729776
chr19	1460201.0	1461000.0	chr19	1460201.0	1474000.0	13800.0	800.0	1099.0	3.9818840579710146	95.0%	0.0	7297.0	7496.0	4.0	4.0	69.0	4.0	2.0	6	1469200	1489400	0.3040771298377304	0.47782874617737003
chr19	1466801.0	1467800.0	chr19	1466801.0	1479000.0	12200.0	1000.0	1305.0	4.278688524590164	95.0%	0.0	7297.0	7496.0	37.0	37.0	61.0	5.0	2.0	6	1469200	1489400	0.9573994934949804	0.4034285714285714
chr19	1467801.0	1469200.0	chr19	1467801.0	1478400.0	10600.0	1400.0	1244.0	3.3530997304582213	95.0%	0.0	7297.0	7496.0	42.0	42.0	53.0	7.0	2.0	6	1469200	1489400	0.5957220224462336	0.4472748815165877
chr19	1463801.0	1464600.0	chr19	1463801.0	1479000.0	15200.0	800.0	1763.0	5.7993421052631575	95.0%	0.0	7297.0	7496.0	22.0	22.0	76.0	4.0	2.0	6	1469200	1489400	0.28435164626110715	0.4760302775441548
chr19	2036201.0	2037600.0	chr19	2036201.0	2049400.0	13200.0	1400.0	2105.0	4.5562770562770565	95.0%	0.0	10157.0	10356.0	24.0	24.0	66.0	7.0	2.0	8	2041200	2061400	0.9934094067870674	0.5349271572655958
chr19	2040601.0	2041600.0	chr19	2040601.0	2050600.0	10000.0	1000.0	664.0	2.6559999999999997	95.0%	0.0	10157.0	10356.0	46.0	46.0	50.0	5.0	2.0	8	2041200	2061400	0.40734549141830256	0.43019403691433983
chr19	2526201.0	2527200.0	chr19	2526201.0	2540600.0	14400.0	1000.0	1808.0	5.022222222222222	95.0%	0.0	12619.0	12818.0	12.0	12.0	72.0	5.0	2.0	9	2533600	2553800	0.8741968993951318	0.44068801897983395
chr19	2530201.0	2531200.0	chr19	2530201.0	2543400.0	13200.0	1000.0	1853.0	5.615151515151515	95.0%	0.0	12619.0	12818.0	32.0	32.0	66.0	5.0	2.0	9	2533600	2553800	0.0006257036768533098	0.4928966061562747
chr19	3038001.0	3038800.0	chr19	3038001.0	3051400.0	13400.0	800.0	864.0	3.2238805970149254	95.0%	0.0	15184.0	15383.0	6.0	6.0	67.0	4.0	2.0	10	3046600	3066800	0.9474725730229911	0.5214574898785425
chr19	3350801.0	3351400.0	chr19	3350801.0	3365600.0	14800.0	600.0	897.0	4.04054054054054	95.0%	0.0	16730.0	16929.0	24.0	24.0	74.0	3.0	2.0	11	3355800	3376000	0.5339969272891842	0.4152791380999021
chr19	3348401.0	3349200.0	chr19	3348401.0	3359000.0	10600.0	800.0	538.0	2.5377358490566038	95.0%	0.0	16730.0	16929.0	12.0	12.0	53.0	4.0	2.0	11	3355800	3376000	0.3575661705222669	0.5241128298453139
chr19	3349401.0	3350800.0	chr19	3349401.0	3364000.0	14600.0	1400.0	429.0	0.8395303326810176	95.0%	0.0	16730.0	16929.0	17.0	17.0	73.0	7.0	2.0	11	3355800	3376000	0.4937885858513375	0.45180722891566266
chr19	3353601.0	3354600.0	chr19	3353601.0	3365400.0	11800.0	1000.0	1478.0	5.010169491525423	95.0%	0.0	16730.0	16929.0	38.0	38.0	59.0	5.0	2.0	11	3355800	3376000	0.43363972117215854	0.43903940886699505
