chr	pos1	pos2	chr2	pos3	pos4	length	width	total	Mean	maxpixel	num	start	end	x	y	h	w	medpixel	region_idx	region_start	region_end	pvalue	Stripiness
chr19	405000.0	406000.0	chr19	384001.0	416001.0	32000.0	1000.0	1651.0	12.8984375	95.0%	0.0	762.0	861.0	4.0	6.0	64.0	2.0	2.0	0	403000	408500	0.0001534749865944202	0.6314907872696818
chr19	495000.0	496000.0	chr19	492001.0	506501.0	14500.0	1000.0	1360.0	23.448275862068964	95.0%	0.0	942.0	1041.0	4.0	42.0	29.0	2.0	2.0	1	493000	498500	0.00019010814988336844	0.6117858749437697
chr19	507000.0	508000.0	chr19	486001.0	529501.0	43500.0	1000.0	3168.0	18.20689655172414	95.0%	0.0	966.0	1065.0	4.0	6.0	87.0	2.0	3.0	2	505000	510500	1.033950634656165e-57	0.7859092036715455
chr19	510500.0	511500.0	chr19	489501.0	532001.0	42500.0	1000.0	2614.0	15.376470588235295	95.0%	0.0	973.0	1072.0	4.0	6.0	85.0	2.0	3.0	3	508500	514000	6.090042819507952e-18	0.7771173848439822
chr19	549500.0	550500.0	chr19	528501.0	571501.0	43000.0	1000.0	1614.0	9.383720930232558	95.0%	0.0	1051.0	1150.0	4.0	6.0	86.0	2.0	3.0	4	547500	553000	3.0047703047725554e-10	0.7074351077870655
chr19	861500.0	862500.0	chr19	840501.0	869001.0	28500.0	1000.0	1539.0	13.5	95.0%	0.0	1675.0	1774.0	4.0	6.0	57.0	2.0	3.0	5	859500	865000	0.2905219566919519	0.6039370078740157
chr19	925000.0	926000.0	chr19	904001.0	945501.0	41500.0	1000.0	2370.0	14.27710843373494	95.0%	0.0	1802.0	1901.0	4.0	6.0	83.0	2.0	3.0	6	923000	928500	1.6028652297634578e-28	0.5632594710507506
chr19	1315000.0	1316000.0	chr19	1294001.0	1333501.0	39500.0	1000.0	2272.0	14.379746835443038	95.0%	0.0	2582.0	2681.0	4.0	6.0	79.0	2.0	3.0	7	1313000	1318500	1.3079035125597613e-15	0.6995986415560358
chr19	1904500.0	1905500.0	chr19	1883501.0	1927001.0	43500.0	1000.0	1741.0	10.005747126436782	95.0%	0.0	3761.0	3860.0	4.0	6.0	87.0	2.0	2.0	8	1902500	1908000	1.0630942511077674e-10	0.657745947983415
chr19	3056000.0	3057000.0	chr19	3035001.0	3061001.0	26000.0	1000.0	1974.0	18.98076923076923	95.0%	0.0	6064.0	6163.0	4.0	6.0	52.0	2.0	3.0	9	3054000	3059500	0.0036978775561617547	0.7136659436008677
chr19	3276000.0	3277000.0	chr19	3255001.0	3292001.0	37000.0	1000.0	3325.0	22.466216216216218	95.0%	0.0	6504.0	6603.0	4.0	6.0	74.0	2.0	3.0	10	3274000	3279500	1.038937533421438e-25	0.7101665954720205
chr19	3970500.0	3971500.0	chr19	3949501.0	3984501.0	35000.0	1000.0	2430.0	17.357142857142858	95.0%	0.0	7893.0	7992.0	4.0	6.0	70.0	2.0	3.0	11	3968500	3974000	1.4484912837838649e-64	0.6974373907979033
chr19	4182000.0	4183000.0	chr19	4161001.0	4200001.0	39000.0	1000.0	2214.0	14.192307692307692	95.0%	0.0	8316.0	8415.0	4.0	6.0	78.0	2.0	3.0	12	4180000	4185500	1.4349292242992678e-26	0.6587325200833085
chr19	4831000.0	4832000.0	chr19	4810001.0	4851001.0	41000.0	1000.0	2118.0	12.914634146341463	95.0%	0.0	9614.0	9713.0	4.0	6.0	82.0	2.0	3.0	13	4829000	4834500	9.929316337287543e-24	0.7341421143847487
chr19	5977500.0	5978500.0	chr19	5969001.0	5993001.0	24000.0	1000.0	2342.0	24.395833333333332	95.0%	0.0	11907.0	12006.0	4.0	31.0	48.0	2.0	3.0	14	5975500	5981000	5.91939987540706e-78	0.5894789831361691
chr19	6199000.0	6200000.0	chr19	6178001.0	6218001.0	40000.0	1000.0	1985.0	12.40625	95.0%	0.0	12350.0	12449.0	4.0	6.0	80.0	2.0	2.0	15	6197000	6202500	2.2760176239901234e-47	0.5853730462990269
chr19	6516000.0	6517000.0	chr19	6495001.0	6536001.0	41000.0	1000.0	1945.0	11.859756097560975	95.0%	0.0	12984.0	13083.0	4.0	6.0	82.0	2.0	2.0	16	6514000	6519500	1.497009745548305e-13	0.6101003764115432
chr19	7550500.0	7551500.0	chr19	7529501.0	7568001.0	38500.0	1000.0	2041.0	13.253246753246753	95.0%	0.0	15053.0	15152.0	4.0	6.0	77.0	2.0	3.0	17	7548500	7554000	1.0303416588004508e-18	0.6830985915492958
