chr	pos1	pos2	chr2	pos3	pos4	length	width	total	Mean	maxpixel	num	start	end	x	y	h	w	medpixel	region_idx	region_start	region_end	pvalue	Stripiness
chr19	266200	268200	chr19	257401	276601	19200	2000	1632	1.7	95.0%	0	1287	1386	0	0	96	10	2.0	0	266200	268400	0.05519229785891373	0.6717778698715292
chr19	459000	461000	chr19	451801	467201	15400	2000	1996	2.592207792207792	95.0%	0	2251	2350	0	8	77	10	2.0	1	459000	461200	0.05880865527650941	0.6623246492985972
chr19	505800	507800	chr19	497401	516201	18800	2000	4966	5.282978723404256	95.0%	0	2485	2584	0	2	94	10	2.0	2	505800	508000	2.0831291167580593e-05	0.7398568019093079
chr19	506800	508800	chr19	498001	515801	17800	2000	6171	6.933707865168539	95.0%	0	2490	2589	0	0	89	10	2.0	3	506800	509000	3.4559383632337384e-16	0.7577135832821144
chr19	510000	512000	chr19	501201	520801	19600	2000	4350	4.438775510204081	95.0%	0	2506	2605	0	0	98	10	3.0	4	510000	512200	0.03057905336716982	0.7503886681637588
chr19	571400	573400	chr19	562601	581201	18600	2000	2883	3.1	95.0%	0	2813	2912	0	0	93	10	2.0	5	571400	573600	0.08509725156847565	0.6071731748726655
chr19	583400	585400	chr19	574601	592401	17800	2000	3790	4.258426966292135	95.0%	0	2873	2972	0	0	89	10	3.0	6	583400	585600	0.009618280974834184	0.7253886010362695
chr19	587200	589200	chr19	578401	597601	19200	2000	3342	3.48125	95.0%	0	2892	2991	0	0	96	10	2.0	7	587200	589400	3.856774345582369e-05	0.6688728439630967
chr19	609200	611200	chr19	600401	619401	19000	2000	3432	3.6126315789473686	95.0%	0	3002	3101	0	0	95	10	2.0	8	609200	611400	0.022052714148886196	0.7308678922616503
chr19	632600	634600	chr19	623801	643001	19200	2000	4873	5.076041666666667	95.0%	0	3119	3218	0	0	96	10	2.0	9	632600	634800	0.006987964843699149	0.6829712683952348
