chr	pos1	pos2	chr2	pos3	pos4	length	width	total	Mean	maxpixel	num	start	end	x	y	h	w	medpixel	region_idx	region_start	region_end	pvalue	Stripiness
chr19	587200	589200	chr19	578401	597601	19200	2000	3342	3.48125	95.0%	0	2892	2991	0	0	96	10	2.0	0	587200	589400	3.856774345582369e-05	0.6688728439630967
chr19	609200	611200	chr19	600401	619401	19000	2000	3432	3.6126315789473686	95.0%	0	3002	3101	0	0	95	10	2.0	1	609200	611400	0.022052714148886196	0.7308678922616503
chr19	843000	845000	chr19	834201	853801	19600	2000	3452	3.522448979591837	95.0%	0	4171	4270	0	0	98	10	2.0	2	843000	845200	0.170310578061595	0.6480195231837808
chr19	920800	922800	chr19	912201	930001	17800	2000	2594	2.9146067415730337	95.0%	0	4560	4659	0	1	89	10	2.0	3	920800	923000	0.9597119956429274	0.5034106412005457
chr19	1179600	1181600	chr19	1173401	1189601	16200	2000	4645	5.734567901234568	95.0%	0	5854	5953	0	13	81	10	2.0	4	1179600	1181800	0.018584457076220428	0.734920634920635
chr19	1448000	1450000	chr19	1440401	1456401	16000	2000	3834	4.7924999999999995	95.0%	0	7196	7295	0	6	80	10	3.0	5	1448000	1450200	0.00906254221317203	0.7091581868640148
chr19	1478200	1480200	chr19	1469401	1489001	19600	2000	4060	4.142857142857143	95.0%	0	7347	7446	0	0	98	10	2.0	6	1478200	1480400	0.0009310350754126665	0.6549329888583885
chr19	1565600	1567600	chr19	1556801	1573401	16600	2000	2856	3.440963855421687	95.0%	0	7784	7883	0	0	83	10	2.0	7	1565600	1567800	0.009315886084882471	0.6644170351407959
chr19	2050200	2052200	chr19	2041401	2061201	19800	2000	3771	3.8090909090909095	95.0%	0	10207	10306	0	0	99	10	2.0	8	2050200	2052400	0.342822570060521	0.706102583302134
chr19	2542600	2544600	chr19	2533801	2553401	19600	2000	3785	3.862244897959184	95.0%	0	12669	12768	0	0	98	10	2.0	9	2542600	2544800	0.13635018406314328	0.6856884057971014
chr19	3055600	3057600	chr19	3046801	3066601	19800	2000	4112	4.153535353535354	95.0%	0	15234	15333	0	0	99	10	2.0	10	3055600	3057800	0.04738196118574776	0.7294034090909091
chr19	3364800	3366800	chr19	3356001	3375801	19800	2000	4044	4.084848484848485	95.0%	0	16780	16879	0	0	99	10	2.0	11	3364800	3367000	2.955102913203515e-06	0.7
chr19	3605800	3607800	chr19	3597001	3616801	19800	2000	5199	5.251515151515152	95.0%	0	17985	18084	0	0	99	10	2.0	12	3605800	3608000	1.0042005153497599e-07	0.6809848088004191
chr19	3761800	3763800	chr19	3753001	3770401	17400	2000	2677	3.0770114942528735	95.0%	0	18765	18864	0	0	87	10	2.0	13	3761800	3764000	0.6357760706211112	0.5899074482150727
chr19	4171800	4173800	chr19	4163601	4182801	19200	2000	3690	3.84375	95.0%	0	20815	20914	0	3	96	10	2.0	14	4171800	4174000	0.001012452075006545	0.6906232453677709
chr19	4712800	4714800	chr19	4704601	4723801	19200	2000	5300	5.520833333333334	95.0%	0	23520	23619	0	3	96	10	3.0	15	4712800	4715000	0.00023241082957890964	0.7424008964841015
chr19	5653800	5655800	chr19	5645001	5664201	19200	2000	2684	2.7958333333333334	95.0%	0	28225	28324	0	0	96	10	2.0	16	5653800	5656000	0.20880838243188732	0.7095402604305076
chr19	5719600	5721600	chr19	5710801	5730601	19800	2000	3218	3.2505050505050503	95.0%	0	28554	28653	0	0	99	10	2.0	17	5719600	5721800	0.35514731256292914	0.6534472239170226
chr19	6091400	6093400	chr19	6082601	6102401	19800	2000	3545	3.580808080808081	95.0%	0	30413	30512	0	0	99	10	2.0	18	6091400	6093600	0.0008282802407086428	0.6972621626945046
chr19	7449600	7451600	chr19	7440801	7460601	19800	2000	2140	2.1616161616161618	95.0%	0	37204	37303	0	0	99	10	2.0	19	7449600	7451800	0.0790965178729396	0.5533178414665634
chr19	7852400	7854400	chr19	7843601	7863201	19600	2000	4208	4.293877551020408	95.0%	0	39218	39317	0	0	98	10	2.0	20	7852400	7854600	0.12010106181054676	0.68703038222803
chr19	8219000	8221000	chr19	8210201	8230001	19800	2000	3470	3.505050505050505	95.0%	0	41051	41150	0	0	99	10	2.0	21	8219000	8221200	0.07159577271547375	0.7235908141962422
chr19	10287600	10289600	chr19	10278801	10298601	19800	2000	5335	5.388888888888888	95.0%	0	51394	51493	0	0	99	10	3.0	22	10287600	10289800	0.024098381689588277	0.7083056478405315
chr19	11373800	11375800	chr19	11365001	11384801	19800	2000	3922	3.961616161616162	95.0%	0	56825	56924	0	0	99	10	2.0	23	11373800	11376000	0.038193048797459904	0.648742554599603
chr19	12789000	12791000	chr19	12780201	12798601	18400	2000	5337	5.801086956521739	95.0%	0	63901	64000	0	0	92	10	3.0	24	12789000	12791200	0.11666528243696808	0.7602622576966933
chr19	13228200	13230200	chr19	13219401	13239201	19800	2000	3200	3.2323232323232327	95.0%	0	66097	66196	0	0	99	10	2.0	25	13228200	13230400	0.2988052433545103	0.6935939196525516
chr19	13995200	13997200	chr19	13986401	14006201	19800	2000	3590	3.6262626262626263	95.0%	0	69932	70031	0	0	99	10	2.0	26	13995200	13997400	0.21396413132937012	0.7321100917431193
chr19	14374200	14376200	chr19	14365401	14385001	19600	2000	3890	3.9693877551020407	95.0%	0	71827	71926	0	0	98	10	2.0	27	14374200	14376400	9.032910354942687e-06	0.7224595950213636
chr19	14775800	14777800	chr19	14767001	14786601	19600	2000	2707	2.762244897959184	95.0%	0	73835	73934	0	0	98	10	2.0	28	14775800	14778000	0.0017715974204479568	0.675087543771886
chr19	16659000	16661000	chr19	16650201	16670001	19800	2000	4419	4.463636363636363	95.0%	0	83251	83350	0	0	99	10	2.0	29	16659000	16661200	7.934733921477837e-13	0.662324049116502
chr19	18502000	18504000	chr19	18493201	18513001	19800	2000	4608	4.654545454545454	95.0%	0	92466	92565	0	0	99	10	3.0	30	18502000	18504200	0.05030920232894978	0.723975506358926
chr19	29714600	29716600	chr19	29705801	29724601	18800	2000	2806	2.9851063829787234	95.0%	0	148529	148628	0	0	94	10	2.0	31	29714600	29716800	3.955695984103571e-06	0.6197962798937112
chr19	29744200	29746200	chr19	29735401	29755201	19800	2000	2350	2.3737373737373737	95.0%	0	148677	148776	0	0	99	10	2.0	32	29744200	29746400	0.39704862455738993	0.6853310002916302
chr19	29786600	29788600	chr19	29777801	29797401	19600	2000	2544	2.595918367346939	95.0%	0	148889	148988	0	0	98	10	2.0	33	29786600	29788800	0.232051742249171	0.6976105465531447
chr19	29795000	29797000	chr19	29786201	29806001	19800	2000	2391	2.415151515151515	95.0%	0	148931	149030	0	0	99	10	2.0	34	29795000	29797200	0.38496927080268956	0.7062647754137116
chr19	29844000	29846000	chr19	29835201	29855001	19800	2000	4919	4.968686868686868	95.0%	0	149176	149275	0	0	99	10	2.0	35	29844000	29846200	1.6135642589562766e-15	0.6528146574614976
chr19	30043000	30045000	chr19	30034201	30052201	18000	2000	916	1.0177777777777777	95.0%	0	150171	150270	0	0	90	10	1.0	36	30043000	30045200	0.9708588243971645	0.6517922457937089
chr19	30227000	30229000	chr19	30218201	30236201	18000	2000	1089	1.21	95.0%	0	151091	151190	0	0	90	10	1.0	37	30227000	30229200	0.19267915299383223	0.5540748334187596
chr19	32321800	32323800	chr19	32313001	32332201	19200	2000	1524	1.5875	95.0%	0	161565	161664	0	0	96	10	2.0	38	32321800	32324000	0.0004314533547978559	0.7186761229314421
chr19	32487800	32489800	chr19	32479001	32497601	18600	2000	1034	1.1118279569892473	95.0%	0	162395	162494	0	0	93	10	1.0	39	32487800	32490000	0.2801018663684803	0.6948579161028416
chr19	32817800	32819800	chr19	32809001	32828401	19400	2000	2357	2.4298969072164947	95.0%	0	164045	164144	0	0	97	10	2.0	40	32817800	32820000	0.04499239276466477	0.7133313088369269
chr19	32828800	32830800	chr19	32820001	32838801	18800	2000	1720	1.8297872340425532	95.0%	0	164100	164199	0	0	94	10	2.0	41	32828800	32831000	0.3705940042309885	0.6684867394695788
chr19	33176200	33178200	chr19	33167401	33187201	19800	2000	4250	4.292929292929292	95.0%	0	165837	165936	0	0	99	10	2.0	42	33176200	33178400	1.8454423383343284e-12	0.6232394366197183
chr19	33371200	33373200	chr19	33362401	33381201	18800	2000	2364	2.5148936170212766	95.0%	0	166812	166911	0	0	94	10	2.0	43	33371200	33373400	7.549208572246763e-06	0.6824480369515011
chr19	33420800	33422800	chr19	33412401	33431401	19000	2000	1712	1.8021052631578947	95.0%	0	167060	167159	0	2	95	10	2.0	44	33420800	33423000	0.3820656321609013	0.6035273368606702
chr19	33845000	33847000	chr19	33836201	33854001	17800	2000	950	1.0674157303370788	95.0%	0	169181	169280	0	0	89	10	1.0	45	33845000	33847200	0.7347739981883235	0.6035271064663619
chr19	33868000	33870000	chr19	33859201	33878201	19000	2000	1138	1.1978947368421053	95.0%	0	169296	169395	0	0	95	10	1.0	46	33868000	33870200	0.48606724280232494	0.6213698630136987
chr19	34041000	34043000	chr19	34032201	34050601	18400	2000	909	0.9880434782608696	95.0%	0	170161	170260	0	0	92	10	1.0	47	34041000	34043200	0.6601180223416253	0.5956175298804781
chr19	34175000	34177000	chr19	34166201	34185201	19000	2000	1399	1.4726315789473685	95.0%	0	170831	170930	0	0	95	10	2.0	48	34175000	34177200	0.8145151739767047	0.7012133468149646
chr19	34215800	34217800	chr19	34207001	34226601	19600	2000	2046	2.0877551020408163	95.0%	0	171035	171134	0	0	98	10	2.0	49	34215800	34218000	0.0007595129415041658	0.680985680985681
chr19	34404400	34406400	chr19	34395601	34415401	19800	2000	3062	3.092929292929293	95.0%	0	171978	172077	0	0	99	10	2.0	50	34404400	34406600	0.0743863401572942	0.7310904318778334
chr19	35012000	35014000	chr19	35003201	35022801	19600	2000	2825	2.88265306122449	95.0%	0	175016	175115	0	0	98	10	2.0	51	35012000	35014200	0.3808312907601492	0.712484237074401
chr19	35061600	35063600	chr19	35052801	35071601	18800	2000	2203	2.3436170212765957	95.0%	0	175264	175363	0	0	94	10	2.0	52	35061600	35063800	0.6835041428416482	0.6601208459214502
chr19	35113800	35115800	chr19	35105001	35124801	19800	2000	3088	3.119191919191919	95.0%	0	175525	175624	0	0	99	10	2.0	53	35113800	35116000	0.5833065349208372	0.6912721561588513
chr19	35227000	35229000	chr19	35218201	35238001	19800	2000	2821	2.8494949494949493	95.0%	0	176091	176190	0	0	99	10	2.0	54	35227000	35229200	0.026540644325484537	0.7113298006560687
chr19	35488400	35490400	chr19	35479601	35499401	19800	2000	2779	2.807070707070707	95.0%	0	177398	177497	0	0	99	10	2.0	55	35488400	35490600	0.1528007739015276	0.6645161290322581
chr19	35951800	35953800	chr19	35943001	35962201	19200	2000	2632	2.7416666666666667	95.0%	0	179715	179814	0	0	96	10	2.0	56	35951800	35954000	0.06865319238403796	0.7035848047084002
chr19	36140200	36142200	chr19	36131801	36151201	19400	2000	3033	3.12680412371134	95.0%	0	180657	180756	0	2	97	10	2.0	57	36140200	36142400	0.0883977807140555	0.6953232462173315
chr19	36182800	36184800	chr19	36174001	36191401	17400	2000	1562	1.795402298850575	95.0%	0	180870	180969	0	0	87	10	2.0	58	36182800	36185000	0.7799172896724715	0.7115915363385464
chr19	38086600	38088600	chr19	38077801	38097401	19600	2000	1861	1.8989795918367345	95.0%	0	190389	190488	0	0	98	10	2.0	59	38086600	38088800	0.5206739688809406	0.6744186046511628
chr19	38105600	38107600	chr19	38096801	38116401	19600	2000	1980	2.020408163265306	95.0%	0	190484	190583	0	0	98	10	2.0	60	38105600	38107800	0.34520893720594126	0.6708474576271186
chr19	38225000	38227000	chr19	38217201	38235801	18600	2000	2981	3.2053763440860217	95.0%	0	191081	191180	0	5	93	10	2.0	61	38225000	38227200	0.7583432421584654	0.6439835817671203
chr19	38328800	38330800	chr19	38320001	38338001	18000	2000	3039	3.3766666666666665	95.0%	0	191600	191699	0	0	90	10	2.0	62	38328800	38331000	0.5063397211975821	0.7095493812748074
