chr	pos1	pos2	chr2	pos3	pos4	length	width	total	Mean	maxpixel	num	start	end	x	y	h	w	medpixel	region_idx	region_start	region_end	pvalue	Stripiness
chr19	588000	588400	chr19	579601	592801	13200	400	789	5.9772727272727275	95.0%	0	2892	2991	4	6	66	2	2.0	0	587200	589400	2.779115709625112e-18	0.5824665676077266
chr19	610000	610400	chr19	608401	612401	4000	400	510	12.75	95.0%	0	3002	3101	4	40	20	2	2.0	1	609200	611400	0.061593378630375936	0.5592105263157895
chr19	843800	844200	chr19	838801	845801	7000	400	556	7.942857142857143	95.0%	0	4171	4270	4	23	35	2	2.0	2	843000	845200	0.09578885993728598	0.48115687992988604
chr19	921600	922000	chr19	913201	924801	11600	400	622	5.362068965517241	95.0%	0	4560	4659	4	6	58	2	2.0	3	920800	923000	0.29094677756056014	0.34146341463414637
chr19	1180400	1180800	chr19	1174601	1182401	7800	400	1184	15.179487179487179	95.0%	0	5854	5953	4	19	39	2	2.0	4	1179600	1181800	2.921872784164549e-20	0.5907023749368367
chr19	1448800	1449200	chr19	1440401	1455201	14800	400	877	5.925675675675675	95.0%	0	7196	7295	4	6	74	2	3.0	5	1448000	1450200	5.669324663260789e-06	0.7057396928051738
chr19	1479000	1479400	chr19	1470601	1485401	14800	400	991	6.695945945945946	95.0%	0	7347	7446	4	6	74	2	2.0	6	1478200	1480400	9.043318764946608e-13	0.5759860788863109
chr19	1566400	1566800	chr19	1558001	1566801	8800	400	713	8.102272727272727	95.0%	0	7784	7883	4	6	44	2	2.0	7	1565600	1567800	2.9115048118981914e-25	0.5265878877400295
chr19	2051000	2051400	chr19	2042601	2058401	15800	400	655	4.1455696202531644	95.0%	0	10207	10306	4	6	79	2	2.0	8	2050200	2052400	0.02135660564542676	0.5716783216783217
chr19	2543400	2543800	chr19	2535001	2549201	14200	400	844	5.943661971830986	95.0%	0	12669	12768	4	6	71	2	2.0	9	2542600	2544800	8.72905978299979e-09	0.6051687006460876
chr19	3056400	3056800	chr19	3048001	3060801	12800	400	874	6.828125	95.0%	0	15234	15333	4	6	64	2	2.0	10	3055600	3057800	0.020161648859404545	0.6631259484066768
chr19	3365600	3366000	chr19	3357201	3370401	13200	400	1208	9.151515151515152	95.0%	0	16780	16879	4	6	66	2	2.0	11	3364800	3367000	3.898964299432544e-48	0.6836445953593662
chr19	3606600	3607000	chr19	3598201	3608201	10000	400	1097	10.97	95.0%	0	17985	18084	4	6	50	2	2.0	12	3605800	3608000	1.561123173225709e-28	0.5430693069306931
chr19	3762600	3763000	chr19	3754201	3767001	12800	400	776	6.0625	95.0%	0	18765	18864	4	6	64	2	2.0	13	3761800	3764000	5.237331829619015e-06	0.5472496473906912
chr19	4172600	4173000	chr19	4164201	4178401	14200	400	898	6.323943661971831	95.0%	0	20815	20914	4	6	71	2	2.0	14	4171800	4174000	1.0888027033808751e-11	0.6362989323843417
chr19	4713600	4714000	chr19	4705201	4718401	13200	400	1224	9.272727272727273	95.0%	0	23520	23619	4	6	66	2	3.0	15	4712800	4715000	1.2695305357689409e-05	0.6548956661316212
chr19	5654600	5655000	chr19	5646201	5658801	12600	400	685	5.436507936507937	95.0%	0	28225	28324	4	6	63	2	2.0	16	5653800	5656000	0.0028769035884961642	0.6720484359233098
chr19	5720400	5720800	chr19	5712001	5729401	17400	400	918	5.275862068965517	95.0%	0	28554	28653	4	6	87	2	2.0	17	5719600	5721800	0.0004166093699730751	0.6102598267821452
chr19	6092200	6092600	chr19	6083801	6101201	17400	400	916	5.264367816091954	95.0%	0	30413	30512	4	6	87	2	2.0	18	6091400	6093600	6.473429783258495e-22	0.6720469552457814
chr19	7450400	7450800	chr19	7442001	7459401	17400	400	541	3.1091954022988504	95.0%	0	37204	37303	4	6	87	2	2.0	19	7449600	7451800	1.2424531139695392e-05	0.49178832116788324
chr19	7853200	7853600	chr19	7844801	7859001	14200	400	982	6.915492957746479	95.0%	0	39218	39317	4	6	71	2	2.0	20	7852400	7854600	4.600541143951999e-09	0.5703488372093023
chr19	8219800	8220200	chr19	8211401	8225001	13600	400	718	5.279411764705882	95.0%	0	41051	41150	4	6	68	2	2.0	21	8219000	8221200	0.041678843321918416	0.6672862453531598
chr19	10288400	10288800	chr19	10280001	10292201	12200	400	1207	9.89344262295082	95.0%	0	51394	51493	4	6	61	2	3.0	22	10287600	10289800	3.821258577904451e-12	0.663175303197354
chr19	11374600	11375000	chr19	11367401	11381201	13800	400	1293	9.369565217391305	95.0%	0	56825	56924	4	12	69	2	2.0	23	11373800	11376000	9.430631821641863e-16	0.5516198704103672
chr19	12789800	12790200	chr19	12781401	12793601	12200	400	1190	9.754098360655737	95.0%	0	63901	64000	4	6	61	2	3.0	24	12789000	12791200	1.1283910015471053e-05	0.676605504587156
