chr	pos1	pos2	chr2	pos3	pos4	length	width	total	Mean	maxpixel	num	start	end	x	y	h	w	medpixel	region_idx	region_start	region_end	pvalue	Stripiness
chr19	369001.0	371000.0	chr19	369001.0	406000.0	37000.0	2000.0	263.0	0.8885135135135135	95.0%	0.0	712.0	911.0	26.0	26.0	74.0	4.0	2.0	0	380500	431000	0.013757525257438735	0.5671641791044776
chr19	371501.0	373000.0	chr19	371501.0	406000.0	34500.0	1500.0	1159.0	5.599033816425121	95.0%	0.0	712.0	911.0	31.0	31.0	69.0	3.0	2.0	0	380500	431000	0.009767920320444797	0.5285510349750179
chr19	372501.0	374500.0	chr19	372501.0	406000.0	33500.0	2000.0	2243.0	8.369402985074627	95.0%	0.0	712.0	911.0	33.0	33.0	67.0	4.0	2.0	0	380500	431000	0.012196390804613036	0.5857843137254902
chr19	375001.0	377500.0	chr19	375001.0	406000.0	31000.0	2500.0	1513.0	4.880645161290323	95.0%	0.0	712.0	911.0	38.0	38.0	62.0	5.0	2.0	0	380500	431000	0.005371363583442218	0.4591061112800243
chr19	377001.0	379000.0	chr19	377001.0	406000.0	29000.0	2000.0	2430.0	10.474137931034482	95.0%	0.0	712.0	911.0	42.0	42.0	58.0	4.0	2.0	0	380500	431000	0.008708932577566934	0.6026001405481377
chr19	378501.0	382000.0	chr19	378501.0	404000.0	25500.0	3500.0	1515.0	4.243697478991597	95.0%	0.0	712.0	911.0	45.0	45.0	51.0	7.0	2.0	0	380500	431000	0.0061849775887946575	0.5585706095929677
chr19	368501.0	371000.0	chr19	368501.0	402000.0	33500.0	2500.0	523.0	1.5611940298507463	95.0%	0.0	712.0	911.0	25.0	25.0	67.0	5.0	2.0	0	380500	431000	0.007349532380968718	0.5819855685493904
chr19	377001.0	379000.0	chr19	377001.0	406000.0	29000.0	2000.0	2430.0	10.474137931034482	95.0%	0.0	712.0	911.0	42.0	42.0	58.0	4.0	2.0	0	380500	431000	0.008708932577566934	0.6026001405481377
chr19	378501.0	382000.0	chr19	378501.0	400000.0	21500.0	3500.0	447.0	1.4850498338870433	95.0%	0.0	712.0	911.0	45.0	45.0	43.0	7.0	2.0	0	380500	431000	0.005372254083276413	0.5517966360856269
chr19	365501.0	368000.0	chr19	365501.0	393000.0	27500.0	2500.0	2004.0	7.287272727272727	95.0%	0.0	712.0	911.0	19.0	19.0	55.0	5.0	2.0	0	380500	431000	0.003729419187992613	0.5748160261651676
chr19	368501.0	371000.0	chr19	368501.0	402000.0	33500.0	2500.0	523.0	1.5611940298507463	95.0%	0.0	712.0	911.0	25.0	25.0	67.0	5.0	2.0	0	380500	431000	0.007349532380968718	0.5819855685493904
chr19	371501.0	373500.0	chr19	371501.0	402000.0	30500.0	2000.0	1664.0	6.819672131147541	95.0%	0.0	712.0	911.0	31.0	31.0	61.0	4.0	2.0	0	380500	431000	0.009091400698561283	0.5569280343716434
chr19	374001.0	376500.0	chr19	374001.0	406000.0	32000.0	2500.0	1492.0	4.6625	95.0%	0.0	712.0	911.0	36.0	36.0	64.0	5.0	2.0	0	380500	431000	0.005387062068051294	0.546923076923077
chr19	377001.0	379000.0	chr19	377001.0	406000.0	29000.0	2000.0	2430.0	10.474137931034482	95.0%	0.0	712.0	911.0	42.0	42.0	58.0	4.0	2.0	0	380500	431000	0.008708932577566934	0.6026001405481377
chr19	378501.0	382000.0	chr19	378501.0	400000.0	21500.0	3500.0	447.0	1.4850498338870433	95.0%	0.0	712.0	911.0	45.0	45.0	43.0	7.0	2.0	0	380500	431000	0.005372254083276413	0.5517966360856269
chr19	448001.0	451000.0	chr19	448001.0	473000.0	25000.0	3000.0	915.0	3.0500000000000003	95.0%	0.0	892.0	1091.0	4.0	4.0	50.0	6.0	2.0	1	470500	521000	0.003115883735022107	0.5346171480972031
chr19	481501.0	484000.0	chr19	481501.0	496000.0	14500.0	2500.0	307.0	2.117241379310345	95.0%	0.0	892.0	1091.0	71.0	71.0	29.0	5.0	2.0	1	470500	521000	0.004614608617945693	0.6360718870346598
chr19	455001.0	457500.0	chr19	455001.0	487000.0	32000.0	2500.0	1345.0	4.203125	95.0%	0.0	892.0	1091.0	18.0	18.0	64.0	5.0	2.0	1	470500	521000	0.005387062068051294	0.5733463509885282
chr19	471001.0	474000.0	chr19	471001.0	507500.0	36500.0	3000.0	2601.0	5.9383561643835625	95.0%	0.0	916.0	1115.0	26.0	26.0	73.0	6.0	2.0	2	482500	533000	0.009239951403035074	0.551958224543081
chr19	471001.0	474000.0	chr19	471001.0	507000.0	36000.0	3000.0	2574.0	5.958333333333333	95.0%	0.0	916.0	1115.0	26.0	26.0	72.0	6.0	2.0	2	482500	533000	0.008224342558363159	0.5509138381201044
chr19	481501.0	484000.0	chr19	481501.0	504500.0	23000.0	2500.0	923.0	4.01304347826087	95.0%	0.0	916.0	1115.0	47.0	47.0	46.0	5.0	2.0	2	482500	533000	0.002810229052844996	0.6501925545571245
chr19	471001.0	473500.0	chr19	471001.0	507000.0	36000.0	2500.0	2050.0	5.694444444444445	95.0%	0.0	916.0	1115.0	26.0	26.0	72.0	5.0	2.0	2	482500	533000	0.007477425621306669	0.5430690245293782
chr19	471001.0	474000.0	chr19	471001.0	507500.0	36500.0	3000.0	2601.0	5.9383561643835625	95.0%	0.0	923.0	1122.0	19.0	19.0	73.0	6.0	2.0	3	486000	536500	0.009239951403035074	0.551958224543081
chr19	471001.0	474000.0	chr19	471001.0	507000.0	36000.0	3000.0	2574.0	5.958333333333333	95.0%	0.0	923.0	1122.0	19.0	19.0	72.0	6.0	2.0	3	486000	536500	0.008224342558363159	0.5509138381201044
chr19	470501.0	473500.0	chr19	470501.0	507000.0	36500.0	3000.0	2669.0	6.0936073059360725	95.0%	0.0	923.0	1122.0	18.0	18.0	73.0	6.0	2.0	3	486000	536500	0.009239951403035074	0.5725308641975309
chr19	503001.0	506500.0	chr19	503001.0	544500.0	41500.0	3500.0	6240.0	10.740103270223752	95.0%	0.0	1001.0	1200.0	5.0	5.0	83.0	7.0	2.0	4	525000	575500	0.6852141290617153	0.6439675566069618
chr19	507001.0	509000.0	chr19	507001.0	545000.0	38000.0	2000.0	3107.0	10.220394736842104	95.0%	0.0	1001.0	1200.0	13.0	13.0	76.0	4.0	2.0	4	525000	575500	6.21350627066996e-30	0.6439367311072056
chr19	515001.0	517500.0	chr19	515001.0	547000.0	32000.0	2500.0	2463.0	7.696875	95.0%	0.0	1001.0	1200.0	29.0	29.0	64.0	5.0	2.0	4	525000	575500	0.8435116884538673	0.5278936392075079
chr19	517001.0	520000.0	chr19	517001.0	547000.0	30000.0	3000.0	4680.0	13.0	95.0%	0.0	1001.0	1200.0	33.0	33.0	60.0	6.0	2.0	4	525000	575500	0.9967789150195497	0.5434150394682177
chr19	507001.0	509000.0	chr19	507001.0	547000.0	40000.0	2000.0	3138.0	9.80625	95.0%	0.0	1001.0	1200.0	13.0	13.0	80.0	4.0	2.0	4	525000	575500	1.2142328916447295e-29	0.6445264452644527
chr19	515001.0	517500.0	chr19	515001.0	547500.0	32500.0	2500.0	2476.0	7.618461538461538	95.0%	0.0	1001.0	1200.0	29.0	29.0	65.0	5.0	2.0	4	525000	575500	0.87454664436759	0.5855057351407716
chr19	517001.0	519500.0	chr19	517001.0	547500.0	30500.0	2500.0	3968.0	13.00983606557377	95.0%	0.0	1001.0	1200.0	33.0	33.0	61.0	5.0	2.0	4	525000	575500	0.9977492509947115	0.5480039590894095
chr19	814001.0	816000.0	chr19	814001.0	850000.0	36000.0	2000.0	3031.0	10.524305555555555	95.0%	0.0	1625.0	1824.0	3.0	3.0	72.0	4.0	2.0	5	837000	887500	0.3073516959154411	0.6234265734265734
chr19	815501.0	818500.0	chr19	815501.0	850500.0	35000.0	3000.0	3192.0	7.6000000000000005	95.0%	0.0	1625.0	1824.0	6.0	6.0	70.0	6.0	2.0	5	837000	887500	0.49400578316864685	0.6045316514832983
chr19	832001.0	835000.0	chr19	832001.0	857000.0	25000.0	3000.0	1165.0	3.8833333333333333	95.0%	0.0	1625.0	1824.0	39.0	39.0	50.0	6.0	2.0	5	837000	887500	0.002698255449782938	0.5333817126269956
chr19	814001.0	816500.0	chr19	814001.0	851000.0	37000.0	2500.0	3713.0	10.035135135135135	95.0%	0.0	1625.0	1824.0	3.0	3.0	74.0	5.0	2.0	5	837000	887500	0.9589900553458134	0.6243913749130535
chr19	816001.0	818500.0	chr19	816001.0	862000.0	46000.0	2500.0	2686.0	5.839130434782609	95.0%	0.0	1625.0	1824.0	7.0	7.0	92.0	5.0	2.0	5	837000	887500	0.5586558439628235	0.552803738317757
chr19	832001.0	835500.0	chr19	832001.0	856500.0	24500.0	3500.0	1107.0	3.227405247813411	95.0%	0.0	1625.0	1824.0	39.0	39.0	49.0	7.0	2.0	5	837000	887500	0.1125319677064538	0.5821399621723858
chr19	814001.0	816500.0	chr19	814001.0	850500.0	36500.0	2500.0	3698.0	10.13150684931507	95.0%	0.0	1625.0	1824.0	3.0	3.0	73.0	5.0	2.0	5	837000	887500	0.9621363445700432	0.6672849524692789
chr19	816001.0	818500.0	chr19	816001.0	861500.0	45500.0	2500.0	2684.0	5.898901098901098	95.0%	0.0	1625.0	1824.0	7.0	7.0	91.0	5.0	2.0	5	837000	887500	0.5881850530535696	0.6140186915887851
chr19	893501.0	897000.0	chr19	893501.0	924500.0	31000.0	3500.0	2748.0	6.331797235023041	95.0%	0.0	1752.0	1951.0	35.0	35.0	62.0	7.0	2.0	6	900500	951000	0.30341637561706125	0.633940353655318
chr19	885001.0	888000.0	chr19	885001.0	917500.0	32500.0	3000.0	3580.0	9.17948717948718	95.0%	0.0	1752.0	1951.0	18.0	18.0	65.0	6.0	2.0	6	900500	951000	0.6930646100619379	0.6692622950819672
chr19	893501.0	897000.0	chr19	893501.0	922500.0	29000.0	3500.0	2685.0	6.613300492610838	95.0%	0.0	1752.0	1951.0	35.0	35.0	58.0	7.0	2.0	6	900500	951000	0.42947511543667755	0.6325722581496634
chr19	885001.0	887500.0	chr19	885001.0	917000.0	32000.0	2500.0	3334.0	10.41875	95.0%	0.0	1752.0	1951.0	18.0	18.0	64.0	5.0	2.0	6	900500	951000	0.8465636974229177	0.5488783700349866
chr19	888001.0	889500.0	chr19	888001.0	917000.0	29000.0	1500.0	1830.0	10.517241379310345	95.0%	0.0	1752.0	1951.0	24.0	24.0	58.0	3.0	2.0	6	900500	951000	0.17662870828981886	0.4619062798852407
chr19	893501.0	897000.0	chr19	893501.0	922500.0	29000.0	3500.0	2685.0	6.613300492610838	95.0%	0.0	1752.0	1951.0	35.0	35.0	58.0	7.0	2.0	6	900500	951000	0.42947511543667755	0.6325722581496634
chr19	1278001.0	1280000.0	chr19	1278001.0	1309000.0	31000.0	2000.0	3439.0	13.866935483870968	95.0%	0.0	2532.0	2731.0	24.0	24.0	62.0	4.0	2.0	7	1290500	1341000	0.02207084369352864	0.4940591323570047
chr19	1871501.0	1874000.0	chr19	1871501.0	1896500.0	25000.0	2500.0	1645.0	6.58	95.0%	0.0	3711.0	3910.0	32.0	32.0	50.0	5.0	2.0	8	1880000	1930500	0.025711712673749082	0.49296310384176495
chr19	1871501.0	1873000.0	chr19	1871501.0	1902000.0	30500.0	1500.0	2188.0	11.956284153005464	95.0%	0.0	3711.0	3910.0	32.0	32.0	61.0	3.0	2.0	8	1880000	1930500	0.3423253527212024	0.5146067415730337
chr19	1872501.0	1874500.0	chr19	1872501.0	1902000.0	29500.0	2000.0	2865.0	12.139830508474576	95.0%	0.0	3711.0	3910.0	34.0	34.0	59.0	4.0	2.0	8	1880000	1930500	0.019490165682197746	0.5549855722988137
chr19	1871501.0	1873000.0	chr19	1871501.0	1902000.0	30500.0	1500.0	2188.0	11.956284153005464	95.0%	0.0	3711.0	3910.0	32.0	32.0	61.0	3.0	2.0	8	1880000	1930500	0.3423253527212024	0.5146067415730337
chr19	1872501.0	1874500.0	chr19	1872501.0	1902000.0	29500.0	2000.0	2865.0	12.139830508474576	95.0%	0.0	3711.0	3910.0	34.0	34.0	59.0	4.0	2.0	8	1880000	1930500	0.019490165682197746	0.5549855722988137
chr19	3022001.0	3024500.0	chr19	3022001.0	3056500.0	34500.0	2500.0	2669.0	7.73623188405797	95.0%	0.0	6014.0	6213.0	30.0	30.0	69.0	5.0	2.0	9	3031500	3082000	0.7167222365666752	0.5561643835616439
chr19	3011501.0	3014500.0	chr19	3011501.0	3048500.0	37000.0	3000.0	5396.0	12.153153153153154	95.0%	0.0	6014.0	6213.0	9.0	9.0	74.0	6.0	2.0	9	3031500	3082000	0.2317172016344076	0.5594653037153529
chr19	3021501.0	3024000.0	chr19	3021501.0	3042000.0	20500.0	2500.0	372.0	1.8146341463414632	95.0%	0.0	6014.0	6213.0	29.0	29.0	41.0	5.0	2.0	9	3031500	3082000	0.6178156570969336	0.5226521944313355
chr19	3011001.0	3014500.0	chr19	3011001.0	3057000.0	46000.0	3500.0	7048.0	10.944099378881987	95.0%	0.0	6014.0	6213.0	8.0	8.0	92.0	7.0	2.0	9	3031500	3082000	0.43045769341323653	0.5705220651860398
chr19	3021501.0	3024000.0	chr19	3021501.0	3042000.0	20500.0	2500.0	372.0	1.8146341463414632	95.0%	0.0	6014.0	6213.0	29.0	29.0	41.0	5.0	2.0	9	3031500	3082000	0.6178156570969336	0.5226521944313355
chr19	3249501.0	3251500.0	chr19	3249501.0	3273500.0	24000.0	2000.0	1118.0	5.822916666666667	95.0%	0.0	6454.0	6653.0	45.0	45.0	48.0	4.0	2.0	10	3251500	3302000	0.07243680325478875	0.46415270018621974
chr19	3250001.0	3252500.0	chr19	3250001.0	3273500.0	23500.0	2500.0	1079.0	4.591489361702128	95.0%	0.0	6454.0	6653.0	46.0	46.0	47.0	5.0	2.0	10	3251500	3302000	0.14724599204040256	0.521306032097399
chr19	3250001.0	3252500.0	chr19	3250001.0	3273500.0	23500.0	2500.0	1079.0	4.591489361702128	95.0%	0.0	6454.0	6653.0	46.0	46.0	47.0	5.0	2.0	10	3251500	3302000	0.14724599204040256	0.521306032097399
chr19	4147501.0	4149500.0	chr19	4147501.0	4181500.0	34000.0	2000.0	3635.0	13.363970588235293	95.0%	0.0	8266.0	8465.0	29.0	29.0	68.0	4.0	2.0	12	4157500	4208000	0.9407468749406639	0.6009156810377718
chr19	4141001.0	4143500.0	chr19	4141001.0	4172500.0	31500.0	2500.0	2274.0	7.219047619047619	95.0%	0.0	8266.0	8465.0	16.0	16.0	63.0	5.0	2.0	12	4157500	4208000	0.844822812869507	0.6380932022231723
chr19	4155501.0	4158000.0	chr19	4155501.0	4180000.0	24500.0	2500.0	933.0	3.808163265306123	95.0%	0.0	8266.0	8465.0	45.0	45.0	49.0	5.0	2.0	12	4157500	4208000	0.20598057692873284	0.5431297709923664
chr19	4141001.0	4143500.0	chr19	4141001.0	4172500.0	31500.0	2500.0	2274.0	7.219047619047619	95.0%	0.0	8266.0	8465.0	16.0	16.0	63.0	5.0	2.0	12	4157500	4208000	0.844822812869507	0.6380932022231723
chr19	4148001.0	4150000.0	chr19	4148001.0	4181500.0	33500.0	2000.0	3631.0	13.548507462686567	95.0%	0.0	8266.0	8465.0	30.0	30.0	67.0	4.0	2.0	12	4157500	4208000	0.7693790512731156	0.6567751161959242
chr19	4155501.0	4158000.0	chr19	4155501.0	4180000.0	24500.0	2500.0	933.0	3.808163265306123	95.0%	0.0	8266.0	8465.0	45.0	45.0	49.0	5.0	2.0	12	4157500	4208000	0.20598057692873284	0.5431297709923664
chr19	4785001.0	4787500.0	chr19	4785001.0	4810000.0	25000.0	2500.0	1066.0	4.264	95.0%	0.0	9564.0	9763.0	6.0	6.0	50.0	5.0	2.0	13	4806500	4857000	0.3931313192032097	0.4506714876033058
chr19	4788001.0	4790500.0	chr19	4788001.0	4831000.0	43000.0	2500.0	3143.0	7.3093023255813945	95.0%	0.0	9564.0	9763.0	12.0	12.0	86.0	5.0	2.0	13	4806500	4857000	0.24030992239576218	0.4357282502443793
chr19	4785001.0	4787500.0	chr19	4785001.0	4816000.0	31000.0	2500.0	3184.0	10.270967741935483	95.0%	0.0	9564.0	9763.0	6.0	6.0	62.0	5.0	2.0	13	4806500	4857000	0.3550937693456474	0.4541462154482046
chr19	4787001.0	4788500.0	chr19	4787001.0	4816000.0	29000.0	1500.0	2006.0	11.528735632183908	95.0%	0.0	9564.0	9763.0	10.0	10.0	58.0	3.0	2.0	13	4806500	4857000	0.1278190350053452	0.4454939000393546
chr19	4788001.0	4790500.0	chr19	4788001.0	4831000.0	43000.0	2500.0	3143.0	7.3093023255813945	95.0%	0.0	9564.0	9763.0	12.0	12.0	86.0	5.0	2.0	13	4806500	4857000	0.24030992239576218	0.4357282502443793
chr19	4785001.0	4787500.0	chr19	4785001.0	4816000.0	31000.0	2500.0	3184.0	10.270967741935483	95.0%	0.0	9564.0	9763.0	6.0	6.0	62.0	5.0	2.0	13	4806500	4857000	0.3550937693456474	0.4541462154482046
chr19	4787001.0	4788500.0	chr19	4787001.0	4816000.0	29000.0	1500.0	2006.0	11.528735632183908	95.0%	0.0	9564.0	9763.0	10.0	10.0	58.0	3.0	2.0	13	4806500	4857000	0.1278190350053452	0.4454939000393546
chr19	4788001.0	4790500.0	chr19	4788001.0	4831000.0	43000.0	2500.0	3143.0	7.3093023255813945	95.0%	0.0	9564.0	9763.0	12.0	12.0	86.0	5.0	2.0	13	4806500	4857000	0.24030992239576218	0.4357282502443793
chr19	4797501.0	4799500.0	chr19	4797501.0	4828500.0	31000.0	2000.0	2347.0	9.463709677419354	95.0%	0.0	9564.0	9763.0	31.0	31.0	62.0	4.0	2.0	13	4806500	4857000	0.2794043054089692	0.5247555012224939
chr19	5942001.0	5944000.0	chr19	5942001.0	5977500.0	35500.0	2000.0	1823.0	6.419014084507042	95.0%	0.0	11857.0	12056.0	27.0	27.0	71.0	4.0	2.0	14	5953000	6003500	0.12350474665013726	0.5646481178396072
chr19	5942001.0	5944500.0	chr19	5942001.0	5977500.0	35500.0	2500.0	2777.0	7.822535211267606	95.0%	0.0	11857.0	12056.0	27.0	27.0	71.0	5.0	2.0	14	5953000	6003500	0.1683175251175524	0.5417399804496579
chr19	6166501.0	6169000.0	chr19	6166501.0	6198500.0	32000.0	2500.0	711.0	2.221875	95.0%	0.0	12300.0	12499.0	33.0	33.0	64.0	5.0	2.0	15	6174500	6225000	0.9832848528492917	0.45996156310057656
chr19	6167001.0	6169000.0	chr19	6167001.0	6198000.0	31000.0	2000.0	537.0	2.1653225806451615	95.0%	0.0	12300.0	12499.0	34.0	34.0	62.0	4.0	2.0	15	6174500	6225000	0.9917516475748125	0.43109339407744873
chr19	6165501.0	6167500.0	chr19	6165501.0	6196000.0	30500.0	2000.0	716.0	2.9344262295081966	95.0%	0.0	12300.0	12499.0	31.0	31.0	61.0	4.0	2.0	15	6174500	6225000	0.9838457270100974	0.5087719298245614
chr19	6167001.0	6169000.0	chr19	6167001.0	6198000.0	31000.0	2000.0	537.0	2.1653225806451615	95.0%	0.0	12300.0	12499.0	34.0	34.0	62.0	4.0	2.0	15	6174500	6225000	0.9917516475748125	0.43109339407744873
chr19	6467501.0	6469500.0	chr19	6467501.0	6499500.0	32000.0	2000.0	2143.0	8.37109375	95.0%	0.0	12934.0	13133.0	1.0	1.0	64.0	4.0	2.0	16	6491500	6542000	0.9014671306921547	0.5664527956003667
chr19	6480001.0	6483500.0	chr19	6480001.0	6515000.0	35000.0	3500.0	4159.0	8.487755102040817	95.0%	0.0	12934.0	13133.0	26.0	26.0	70.0	7.0	2.0	16	6491500	6542000	0.0010528731292468864	0.5408479834539814
chr19	6476501.0	6479000.0	chr19	6476501.0	6517000.0	40500.0	2500.0	4772.0	11.782716049382717	95.0%	0.0	12934.0	13133.0	19.0	19.0	81.0	5.0	2.0	16	6491500	6542000	0.6641448714576803	0.6041510845175767
chr19	6478501.0	6481000.0	chr19	6478501.0	6510000.0	31500.0	2500.0	3236.0	10.273015873015874	95.0%	0.0	12934.0	13133.0	23.0	23.0	63.0	5.0	2.0	16	6491500	6542000	0.41845818165133214	0.6213085332028063
chr19	6480501.0	6483500.0	chr19	6480501.0	6515000.0	34500.0	3000.0	3488.0	8.42512077294686	95.0%	0.0	12934.0	13133.0	27.0	27.0	69.0	6.0	2.0	16	6491500	6542000	0.005576569906909003	0.5964285714285714
chr19	7525501.0	7527500.0	chr19	7525501.0	7543000.0	17500.0	2000.0	406.0	2.9	95.0%	0.0	15003.0	15202.0	48.0	48.0	35.0	4.0	2.0	17	7526000	7576500	0.964962943157193	0.6185714285714285
